iter	RMSE
0	1.896884042
1	1.886106905
2	1.875280783
3	1.86681149
4	1.856922146
5	1.849912177
6	1.843413065
7	1.838089662
8	1.83106321
9	1.824380414
10	1.818186695
11	1.814115017
12	1.808133654
13	1.802807385
14	1.799506335
15	1.79620807
16	1.792914942
17	1.790101984
18	1.78684105
19	1.784228923
20	1.780445548
21	1.777712264
22	1.775195515
23	1.772404959
24	1.769379149
25	1.766833137
26	1.764371452
27	1.760361801
28	1.756472559
29	1.753615088
30	1.751445559
31	1.74890112
32	1.745743592
33	1.742811678
34	1.741006466
35	1.739235468
36	1.737421672
37	1.7353732
38	1.733493167
39	1.730626694
40	1.72932654
41	1.727298638
42	1.725336099
43	1.723848975
44	1.722232865
45	1.721022056
46	1.719239352
47	1.717072161
48	1.71538952
49	1.713489367
50	1.711526498
51	1.709298662
52	1.706931977
53	1.70503575
54	1.703609151
55	1.702118629
56	1.699760532
57	1.698165204
58	1.696610468
59	1.695188549
60	1.693311907
61	1.691733813
62	1.689918431
63	1.688592575
64	1.687218965
65	1.685900262
66	1.685059772
67	1.683696465
68	1.682271263
69	1.680985358
70	1.67960652
71	1.678244212
72	1.676480851
73	1.675125881
74	1.673908666
75	1.672615251
76	1.671801827
77	1.670703733
78	1.66957517
79	1.668371624
80	1.667035215
81	1.665870899
82	1.6646674
83	1.663640943
84	1.662543379
85	1.661809778
86	1.660236884
87	1.658272984
88	1.657517335
89	1.655736499
90	1.654494625
91	1.653523223
92	1.652910565
93	1.651567192
94	1.65011113
95	1.649091916
96	1.647988408
97	1.646964401
98	1.646222347
99	1.644762526
100	1.643582342
101	1.641183461
102	1.638238547
103	1.636796872
104	1.635121139
105	1.632929537
106	1.631923837
107	1.630355049
108	1.628667706
109	1.627089918
110	1.62592345
111	1.62383242
112	1.621938322
113	1.620131437
114	1.618819288
115	1.617535311
116	1.615170547
117	1.613625793
118	1.61146634
119	1.609584671
120	1.607970685
121	1.60696915
122	1.605736824
123	1.604131945
124	1.602568142
125	1.5989346
126	1.597891092
127	1.594737199
128	1.593347286
129	1.591683913
130	1.589167789
131	1.586936137
132	1.585833452
133	1.584497144
134	1.582964903
135	1.581145796
136	1.579746412
137	1.577958937
138	1.576683721
139	1.574343286
140	1.573518443
141	1.572485187
142	1.571168175
143	1.57001406
144	1.568358653
145	1.566705041
146	1.565281149
147	1.563764617
148	1.562462932
149	1.560454089
150	1.558097649
151	1.55655281
152	1.555130441
153	1.553798547
154	1.552193623
155	1.551050072
156	1.549578811
157	1.547510342
158	1.545811657
159	1.544566979
160	1.543261885
161	1.542008776
162	1.541268825
163	1.53938025
164	1.538304357
165	1.536836456
166	1.535671876
167	1.534481319
168	1.532113664
169	1.530298524
170	1.528885339
171	1.52760617
172	1.526018777
173	1.524603013
174	1.524188527
175	1.522621205
176	1.52137416
177	1.520457828
178	1.518428851
179	1.51723072
180	1.516067386
181	1.514885173
182	1.513356408
183	1.511723112
184	1.511520649
185	1.510702275
186	1.50934855
187	1.508072639
188	1.50589684
189	1.505249252
190	1.504455165
191	1.503387981
192	1.50201052
193	1.501249712
194	1.499736205
