iter	Passed	Remaining
0	30	21340
1	59	20906
2	91	21249
3	124	21592
4	155	21560
5	188	21750
6	229	22738
7	262	22706
8	295	22718
9	337	23301
10	382	23967
11	422	24242
12	481	25436
13	525	25746
14	595	27214
15	666	28505
16	733	29459
17	776	29417
18	826	29629
19	868	29518
20	900	29104
21	930	28672
22	971	28592
23	1001	28221
24	1033	27904
25	1067	27677
26	1099	27418
27	1133	27197
28	1165	26973
29	1216	27157
30	1265	27308
31	1308	27313
32	1342	27131
33	1373	26906
34	1404	26681
35	1443	26632
36	1477	26466
37	1508	26280
38	1537	26058
39	1568	25881
40	1598	25686
41	1631	25556
42	1679	25653
43	1729	25783
44	1777	25867
45	1819	25873
46	1851	25724
47	1886	25619
48	1923	25558
49	1957	25445
50	1989	25323
51	2022	25203
52	2060	25149
53	2094	25051
54	2137	25068
55	2172	24979
56	2206	24895
57	2237	24770
58	2270	24672
59	2305	24587
60	2347	24591
61	2381	24510
62	2414	24416
63	2449	24342
64	2484	24268
65	2521	24225
66	2556	24148
67	2588	24056
68	2620	23967
69	2652	23872
70	2699	23914
71	2749	23981
72	2803	24078
73	2843	24051
74	2875	23961
75	2905	23855
76	2937	23765
77	2972	23701
78	3005	23624
79	3035	23521
80	3068	23451
81	3100	23367
82	3134	23301
83	3166	23224
84	3210	23229
85	3247	23184
86	3281	23123
87	3314	23049
88	3347	22983
89	3381	22916
90	3415	22860
91	3456	22840
92	3488	22767
93	3523	22713
94	3554	22638
95	3585	22559
96	3614	22468
97	3652	22437
98	3684	22364
99	3716	22297
100	3748	22230
101	3779	22158
102	3812	22100
103	3845	22035
104	3884	22014
105	3917	21952
106	3946	21872
107	3978	21806
108	4009	21739
109	4045	21700
110	4081	21657
111	4121	21639
112	4154	21583
113	4188	21530
114	4220	21468
115	4249	21394
116	4281	21332
117	4311	21264
118	4348	21232
119	4381	21176
120	4420	21152
121	4449	21079
122	4478	21007
123	4508	20942
124	4540	20884
125	4578	20857
126	4623	20860
127	4673	20886
128	4713	20863
129	4747	20817
130	4783	20778
131	4823	20754
132	4854	20696
133	4885	20637
134	4916	20575
135	4947	20518
136	4979	20462
137	5022	20454
138	5055	20404
139	5090	20360
140	5119	20297
141	5150	20240
142	5181	20183
143	5215	20136
144	5254	20111
145	5291	20079
146	5324	20032
147	5360	19994
148	5392	19942
149	5424	19890
150	5457	19842
151	5496	19817
152	5528	19763
153	5560	19713
154	5593	19667
155	5624	19613
156	5661	19579
157	5704	19567
158	5739	19530
159	5773	19485
160	5807	19441
161	5840	19395
162	5875	19356
163	5915	19334
164	5947	19285
165	5979	19235
166	6010	19182
167	6043	19137
168	6077	19094
169	6120	19080
170	6153	19035
171	6186	18991
172	6219	18944
173	6250	18896
174	6281	18844
175	6324	18830
176	6356	18781
177	6386	18729
178	6420	18687
179	6452	18641
180	6487	18602
181	6524	18568
182	6557	18525
183	6590	18480
184	6618	18425
185	6647	18371
186	6678	18320
187	6716	18291
188	6749	18247
189	6776	18190
190	6811	18153
191	6841	18101
192	6873	18056
193	6903	18005
194	6938	17968
